,title,price
0,Mi 4A PRO 80 cm (32) HD Ready LED Smart Android TV With Google Data Saver,"₹12,499"
1,Vu Premium 108cm (43 inch) Full HD LED Smart Android TV,"₹20,999"
2,Samsung 80cm (32 inch) HD Ready LED Smart TV,"₹14,499"
3,Samsung 80cm (32 inch) HD Ready LED Smart TV  with Voice Search,"₹15,999"
4,Vu Premium 80cm (32 inch) HD Ready LED Smart Android TV,"₹12,499"
5,Thomson B9 Pro 102cm (40 inch) Full HD LED Smart TV,"₹15,999"
6,LG All-in-One 80cm (32 inch) HD Ready LED Smart TV,"₹14,999"
7,Mi 4A Pro 108 cm (43) Full HD LED Smart Android TV With Google Data Saver,"₹21,999"
8,Micromax 81cm (32 inch) HD Ready LED TV  with IPS Panel,"₹9,499"
9,LG All-in-One 108cm (43 inch) Full HD LED Smart TV,"₹28,999"
10,Kodak 80cm (32 inch) HD Ready LED Smart TV,"₹11,499"
11,Thomson R9 60cm (24 inch) HD Ready LED TV,"₹6,999"
12,Thomson 108cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹25,999"
13,Realme 80cm (32 inch) HD Ready LED Smart Android TV,"₹12,999"
14,Realme 108cm (43 inch) Full HD LED Smart Android TV,"₹21,999"
15,Mi 4A 100 cm (40) Full HD LED Smart Android TV With Google Data Saver,"₹17,999"
16,Motorola 109cm (43 inch) Ultra HD (4K) LED Smart Android TV  with Wireless Gamepad,"₹29,999"
17,Nokia 139cm (55 inch) Ultra HD (4K) LED Smart Android TV  with Sound by JBL,"₹41,999"
18,Vu 80cm (32 inch) HD Ready LED TV  with FM Radio,"₹8,499"
19,Motorola 80.5cm (32 inch) HD Ready LED Smart Android TV  with Wireless Gamepad,"₹13,999"
20,Mi 4X 125.7 cm (50) Ultra HD (4K) LED Smart Android TV,"₹29,999"
21,Kodak 60cm (24 inch) HD Ready LED TV,"₹6,499"
22,Motorola 127cm (50 inch) Ultra HD (4K) LED Smart Android TV  with Wireless Gamepad,"₹33,999"
23,Motorola 139cm (55 inch) Ultra HD (4K) LED Smart Android TV  with Wireless Gamepad,"₹39,999"
24,Samsung 108cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,999"
25,Thomson B9 Pro 80cm (32 inch) HD Ready LED Smart TV,"₹10,499"
26,Thomson 123.2cm (49 inch) Ultra HD (4K) LED Smart Android TV  with In-built soundbar & Netflix,"₹28,999"
27,Motorola 107.6cm (43 inch) Full HD LED Smart Android TV  with Wireless Gamepad,"₹24,999"
28,Samsung Series 4 80cm (32 inch) HD Ready LED Smart TV,"₹14,499"
29,Vu Cinema 80cm (32 inch) HD Ready LED Smart Android TV,"₹13,499"
30,Sony Bravia R202G 80cm (32 inch) HD Ready LED TV,"₹15,999"
31,Thomson R9 80cm (32 inch) HD Ready LED TV,"₹7,999"
32,Samsung 125cm (50 inch) Ultra HD (4K) LED Smart TV,"₹44,999"
33,Vu Cinema 108cm (43 inch) Full HD LED Smart Android TV,"₹22,499"
34,Samsung 80cm (32 inch) HD Ready LED TV,"₹12,499"
35,Micromax 102cm (40 inch) Full HD LED TV,"₹13,999"
36,LG All-in-One 126cm (50 inch) Ultra HD (4K) LED Smart TV,"₹44,999"
37,Coocaa 81cm (32 inch) HD Ready LED Smart TV  with YouTube,"₹8,699"
38,RGL 60cm (24 inch) HD Ready LED TV,"₹6,390"
39,Kodak X900 80cm (32 inch) HD Ready LED TV,"₹7,999"
40,Kodak XPRO 80cm (32 inch) HD Ready LED Smart TV,"₹9,999"
41,iFFALCON by TCL 123.13cm (49 inch) Full HD LED Smart Android TV  with Google Voice Search,"₹24,999"
42,Philips 80cm (32 inch) HD Ready LED TV,"₹10,999"
43,Samsung The Frame 138cm (55 inch) Ultra HD (4K) QLED Smart TV,"₹86,999"
44,Thomson 139cm (55 inch) Ultra HD (4K) LED Smart Android TV,"₹44,999"
45,Vu Premium 164cm (65 inch) Ultra HD (4K) LED Smart TV,"₹52,999"
46,Vu Premium 108cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹35,982"
47,Thomson UD9 124cm (50 inch) Ultra HD (4K) LED Smart TV,"₹25,999"
48,LG 139cm (55 inch) Ultra HD (4K) LED Smart TV,"₹58,999"
49,LG 108cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,499"
50,Sony 80cm (32 inch) HD Ready LED Smart TV,"₹22,999"
51,Thomson 164cm (65 inch) Ultra HD (4K) LED Smart Android TV,"₹51,999"
52,iFFALCON by TCL AI Powered K31 138.78cm (55 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,"₹29,999"
53,Sony Bravia W622G 80cm (32 inch) HD Ready LED Smart TV,"₹23,999"
54,iFFALCON by TCL 79.97cm (32 inch) HD Ready LED Smart Android TV  with Google assistant tv HDR 10 and D...,"₹10,999"
55,Kodak X900 102cm (40 inch) Full HD LED TV,"₹13,999"
56,Sony Bravia X7002G 108cm (43 inch) Ultra HD (4K) LED Smart TV,"₹46,999"
57,Coocaa 127cm (50 inch) Ultra HD (4K) LED Smart TV,"₹23,999"
58,Sansui 80cm (32 inch) HD Ready LED TV,"₹8,999"
59,Nokia 108cm (43 inch) Ultra HD (4K) LED Smart Android TV  with Sound by JBL,"₹31,999"
60,RGL 80cm (32 inch) HD Ready LED TV,"₹7,989"
61,LG LM63 80cm (32 inch) HD Ready LED Smart TV,"₹20,399"
62,Sansui 125cm (50 inch) Ultra HD (4K) LED Smart TV,"₹27,499"
63,Vu Premium 139cm (55 inch) Ultra HD (4K) LED Smart Android TV,"₹34,999"
64,Mi 4X 163.9 cm (65) Ultra HD (4K) LED Smart Android TV,"₹54,999"
65,LG 123cm (49 inch) Ultra HD (4K) LED Smart TV,"₹46,999"
66,RGL 80cm (32 inch) Full HD LED TV,"₹8,490"
67,Blaupunkt 109cm (43 inch) Full HD LED Smart TV  with External Soundbar,"₹21,999"
68,LG 80cm (32 inch) HD Ready LED TV,"₹13,999"
69,iFFALCON by TCL AI Powered K3A 138.78cm (55 inch) Ultra HD (4K) LED Smart Android TV  with Super Narro...,"₹39,999"
70,Kodak 900S 80cm (32 inch) HD Ready LED TV  with Bluetooth,"₹8,999"
71,Blaupunkt 109cm (43 inch) Ultra HD (4K) LED Smart TV  with Metallic Bezel,"₹19,999"
72,Vu Pixelight 163cm (65 inch) Ultra HD (4K) LED Smart TV,"₹47,999"
73,Samsung 108cm (43 inch) Full HD LED Smart TV,"₹31,999"
74,Motorola 164cm (65 inch) Ultra HD (4K) LED Smart Android TV  with Wireless Gamepad,"₹64,999"
75,iFFALCON by TCL AI Powered K31 125.73cm (50 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,"₹26,999"
76,MarQ by Flipkart Dolby 65 inch(165 cm) Ultra HD (4K) Smart LED TV,"₹44,999"
77,iFFALCON by TCL 100.3cm (40 inch) Full HD LED Smart Android TV  with Google assistant search and Dolby...,"₹16,999"
78,iFFALCON by TCL AI Powered K31 108cm (43 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,"₹23,999"
79,Micromax 102cm (40 inch) Full HD LED Smart Android TV,"₹18,999"
80,Sony Bravia W672G 80.1cm (32 inch) Full HD LED Smart TV,"₹31,999"
81,LG 108Cm (43 inch) Full HD LED TV,"₹25,999"
82,Noble Skiodo INT 98cm (39 inch) HD Ready LED Smart TV,"₹15,999"
83,ADSUN 60cm (24 inch) HD Ready LED TV,"₹5,499"
84,Coocaa 138cm (55 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,"₹31,999"
85,TCL S6500 Series 99.8cm (40 inch) Full HD LED Smart TV,"₹19,990"
